Vth,p1_AB,p2_CD,sM_exact,outM,x_log2AB,y_log2CD,sL_logsum,outL
662,750,480,1230,1,9.25,8.75,10,1
664,750,480,1230,1,9.25,8.75,10,1
666,750,480,1230,1,9.25,8.75,10,1
668,750,480,1230,1,9.25,8.75,10,1
670,750,480,1230,1,9.25,8.75,10,1
672,750,480,1230,1,9.25,8.75,10,1
674,750,480,1230,1,9.25,8.75,10,1
676,750,480,1230,1,9.25,8.75,10,1
678,750,480,1230,1,9.25,8.75,10,1
680,750,480,1230,1,9.25,8.75,10,1
682,750,480,1230,1,9.25,8.75,10,1
684,750,480,1230,1,9.25,8.75,10,1
686,750,480,1230,1,9.25,8.75,10,1
688,750,480,1230,1,9.25,8.75,10,1
690,750,480,1230,1,9.25,8.75,10,1
692,750,480,1230,1,9.25,8.75,10,1
694,750,480,1230,1,9.25,8.75,10,1
696,750,480,1230,1,9.25,8.75,10,1
698,750,480,1230,1,9.25,8.75,10,1
700,750,480,1230,1,9.25,8.75,10,1
702,750,480,1230,1,9.25,8.75,10,1
704,750,480,1230,1,9.25,8.75,10,1
706,750,480,1230,1,9.25,8.75,10,1
708,750,480,1230,1,9.25,8.75,10,1
710,750,480,1230,1,9.25,8.75,10,1
712,750,480,1230,1,9.25,8.75,10,1
714,750,480,1230,1,9.25,8.75,10,1
716,750,480,1230,1,9.25,8.75,10,1
718,750,480,1230,1,9.25,8.75,10,1
720,750,480,1230,1,9.25,8.75,10,1
722,750,480,1230,1,9.25,8.75,10,1
724,750,480,1230,1,9.25,8.75,10,1
726,750,480,1230,1,9.25,8.75,10,1
728,750,480,1230,1,9.25,8.75,10,1
730,750,480,1230,1,9.25,8.75,10,1
732,750,480,1230,1,9.25,8.75,10,1
734,750,480,1230,1,9.25,8.75,10,1
736,750,480,1230,1,9.25,8.75,10,1
738,750,480,1230,1,9.25,8.75,10,1
740,750,480,1230,1,9.25,8.75,10,1
742,750,480,1230,1,9.25,8.75,10,1
744,750,480,1230,1,9.25,8.75,10,1
746,750,480,1230,1,9.25,8.75,10,1
748,750,480,1230,1,9.25,8.75,10,1
750,750,480,1230,1,9.25,8.75,10,1
752,750,480,1230,1,9.25,8.75,10,1
754,750,480,1230,1,9.25,8.75,10,1
756,750,480,1230,1,9.25,8.75,10,1
758,750,480,1230,1,9.25,8.75,10,1
760,750,480,1230,1,9.25,8.75,10,1
762,750,480,1230,1,9.25,8.75,10,1
764,750,480,1230,1,9.25,8.75,10,1
766,750,480,1230,1,9.25,8.75,10,1
768,750,480,1230,1,9.25,8.75,10,1
770,750,480,1230,1,9.25,8.75,10,1
772,750,480,1230,1,9.25,8.75,10,1
774,750,480,1230,1,9.25,8.75,10,1
776,750,480,1230,1,9.25,8.75,10,1
778,750,480,1230,1,9.25,8.75,10,1
780,750,480,1230,1,9.25,8.75,10,1
782,750,480,1230,1,9.25,8.75,10,1
784,750,480,1230,1,9.25,8.75,10,1
786,750,480,1230,1,9.25,8.75,10,1
788,750,480,1230,1,9.25,8.75,10,1
790,750,480,1230,1,9.25,8.75,10,1
792,750,480,1230,1,9.25,8.75,10,1
794,750,480,1230,1,9.25,8.75,10,1
796,750,480,1230,1,9.25,8.75,10,1
798,750,480,1230,1,9.25,8.75,10,1
800,750,480,1230,1,9.25,8.75,10,1
802,750,480,1230,1,9.25,8.75,10,1
804,750,480,1230,1,9.25,8.75,10,1
806,750,480,1230,1,9.25,8.75,10,1
808,750,480,1230,1,9.25,8.75,10,1
810,750,480,1230,1,9.25,8.75,10,1
812,750,480,1230,1,9.25,8.75,10,1
814,750,480,1230,1,9.25,8.75,10,1
816,750,480,1230,1,9.25,8.75,10,1
818,750,480,1230,1,9.25,8.75,10,1
820,750,480,1230,1,9.25,8.75,10,1
822,750,480,1230,1,9.25,8.75,10,1
824,750,480,1230,1,9.25,8.75,10,1
826,750,480,1230,1,9.25,8.75,10,1
828,750,480,1230,1,9.25,8.75,10,1
830,750,480,1230,1,9.25,8.75,10,1
832,750,480,1230,1,9.25,8.75,10,1
834,750,480,1230,1,9.25,8.75,10,1
836,750,480,1230,1,9.25,8.75,10,1
838,750,480,1230,1,9.25,8.75,10,1
840,750,480,1230,1,9.25,8.75,10,1
842,750,480,1230,1,9.25,8.75,10,1
844,750,480,1230,1,9.25,8.75,10,1
846,750,480,1230,1,9.25,8.75,10,1
848,750,480,1230,1,9.25,8.75,10,1
850,750,480,1230,1,9.25,8.75,10,1
852,750,480,1230,1,9.25,8.75,10,1
854,750,480,1230,1,9.25,8.75,10,1
856,750,480,1230,1,9.25,8.75,10,1
858,750,480,1230,1,9.25,8.75,10,1
860,750,480,1230,1,9.25,8.75,10,1
862,750,480,1230,1,9.25,8.75,10,1
864,750,480,1230,1,9.25,8.75,10,1
866,750,480,1230,1,9.25,8.75,10,1
868,750,480,1230,1,9.25,8.75,10,1
870,750,480,1230,1,9.25,8.75,10,1
